Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total.1
31-JAN-2023|AALI|EQUITY|1924688333.0|8225|66107871|21045924|8141887|49700|144459549|17915512|632962|3778721|4783127|266915253|3807125|4857891|24773600|10095285|1341152|37993161|31426181|227997|9351948|123874340
31-JAN-2023|ABBA|EQUITY|3935892857.0|126|172287600|2343268105|6524300|0|904884183|0|487|0|0|3426964675|0|20400|0|42322785|7046500|0|1301900|0|0|50691585
31-JAN-2023|ABDA|EQUITY|620806680.0|6700|0|40248|0|98|393882|0|7500|506484|20|948232|588313138|0|0|3500|400|0|4400|0|30499400|618820838
31-JAN-2023|ABMM|EQUITY|2753165000.0|3150|2700900|1496542133|0|15000|328646800|96800|235332|0|469000|1828705965|269600|709934136|12573157|14388344|511700|15751694|4539668|4429065|162061671|924459035
31-JAN-2023|ACES|EQUITY|17150000000.0|490|394461715|372512600|47654611|0|2581468991|262684378|40354084|10540100|104100|3709780579|7590300|239288958|800621373|635551688|8803800|772382287|216366725|5905577|468708713|3155219421
31-JAN-2023|ACST|EQUITY|12675160000.0|163|0|11198972335|0|0|1428134599|29350000|1272|0|80|12656458286|0|120|0|8985644|4469135|0|5230795|0|16020|18701714
31-JAN-2023|ADCP|EQUITY|22222222200.0|66|2550000|451688200|6760000|0|1564561300|911000|1558700|200|189963000|2217992400|0|0|0|805600|3424200|0|0|0|0|4229800
31-JAN-2023|ADES|EQUITY|589896800.0|7450|0|718300|58500|350|40188377|0|411|0|0|40965938|0|540411613|159600|6650724|92500|87300|180000|0|326697|547908434
31-JAN-2023|ADHI|EQUITY|8407608979.0|480|73802639|185123773|96070144|3000000|2100740796|140934435|29482755|28987451|1040247|2659182240|0|25303436|106165107|27574712|6058041|79622898|90371234|0|4547519|339642947
31-JAN-2023|ADMF|EQUITY|1000000000.0|9425|4459700|646600|0|920700000|40932200|9885700|124259|0|0|976748459|22100|480231|668639|12048874|548800|1010766|4217431|103000|4051700|23151541
31-JAN-2023|ADMG|EQUITY|3889179559.0|147|1030000|994220200|2290400|0|504206387|83|450027|0|0|1502197097|0|1662400|0|3563647|2747700|0|4323896|0|43|12297686
31-JAN-2023|ADMR|EQUITY|40882331500.0|1640|897655900|34870266520|98892400|0|1955585800|763439800|1568|16436500|0|38602278488|32766200|1306053450|14920800|209671589|59107100|118620075|41088100|0|497825698|2280053012
31-JAN-2023|ADRO|EQUITY|31985962000.0|2960|1199950419|16849008353|86334300|7000|6530092036|797209070|125569375|15376700|654527|25604201780|55894885|901188616|1101694343|620628891|12767572|1644188765|361395815|78349900|1605651433|6381760220
31-JAN-2023|AGAR|EQUITY|1000000000.0|280|0|798974700|0|0|200989900|0|0|0|0|999964600|0|200|0|13000|22200|0|0|0|0|35400
31-JAN-2023|AGII|EQUITY|3066660000.0|1990|10254300|1596093826|7844200|0|265356091|65152018|430542|1293700|0|1946424677|0|2864200|17715400|47156340|16362200|2426100|14045200|0|115113700|215683140
31-JAN-2023|AGRO|EQUITY|24740107814.0|440|30301322|53586014|801802595|21240242086|1923142461|66474629|3264|722800|1002996|24117278167|0|18931154|26873069|48582239|2832162|201913569|64261900|0|2165653|365559746
31-JAN-2023|AGRS|EQUITY|27649535711.0|91|0|361295972|0|20158930|1716358694|0|229|0|1709600|2099523425|0|0|0|3076514|19294544|0|7951843|0|6136453340|6166776241
31-JAN-2023|AHAP|EQUITY|4900000000.0|62|3066343009|156145681|0|0|1413071003|0|579704|0|42|4636139439|64086000|0|0|0|194160307|0|1273341|0|55|259519703
31-JAN-2023|AIMS|EQUITY|220000000.0|282|0|180441890|0|0|39355810|0|18000|0|0|219815700|0|0|0|21500|2000|0|10800|0|0|34300
31-JAN-2023|AISA|EQUITY|9311800000.0|148|169620583|6996208758|4100400|0|1702118039|7088900|539425|100100|8794665|8888570870|0|320936953|1927300|53757012|11344800|4532100|29555971|0|547494|422601630
31-JAN-2023|AKKU|EQUITY|6449463636.0|50|0|5591351100|0|0|621086936|0|11482900|6700|3191400|6227119036|0|196189000|0|0|1050200|0|2105400|0|23000000|222344600
31-JAN-2023|AKPI|EQUITY|612248000.0|1205|4000|145574873|0|2|28398871|17500|2122|0|0|173997368|0|9600|34|1|21303|0|194300|0|10300|235538
31-JAN-2023|AKRA|EQUITY|20073474600.0|1310|666151500|2686798300|68997200|5000000|725260060|714989318|32573520|7334200|236600|4907340698|36477035|471875279|633792011|764842058|31492100|1693499610|306422033|33955900|1482148776|5454504802
31-JAN-2023|AKSI|EQUITY|720000000.0|286|0|13069244|0|0|44468456|0|0|0|0|57537700|0|0|0|500|0|0|300|0|0|800
31-JAN-2023|ALDO|EQUITY|1316856310.0|815|0|926553766|0|0|389351361|900000|61|0|0|1316805188|0|0|0|23166|27900|0|0|0|56|51122
31-JAN-2023|ALKA|EQUITY|507665055.0|422|0|11021250|0|77500|24117505|0|21200|0|0|35237455|0|0|0|260000|2624023|0|100|0|0|2884123
31-JAN-2023|ALMI|EQUITY|3816000000.0|268|0|96651440|0|0|49083300|0|303000|0|0|146037740|0|0|0|32904800|366000|0|195200|0|0|33466000
31-JAN-2023|ALTO|EQUITY|2191870558.0|50|0|1372038216|0|0|464332424|5900|339623518|0|5979200|2181979258|0|50000|0|7560000|56000|0|1973800|0|0|9639800
31-JAN-2023|AMAG|EQUITY|5001552516.0|368|15463400|116500|210019533|388000000|71444396|0|23887500|0|0|708931329|0|5656400|0|4938400|7950600|2066800|68765900|0|13700000|103078100
31-JAN-2023|AMAN|EQUITY|3873500000.0|705|0|0|0|0|584975300|0|0|0|0|584975300|0|0|0|24500|0|0|200|0|0|24700
